INDEX,t-SNE 1 (2D),t-SNE 2 (2D)
AC_1,-57.440124998829305,109.7474160750285
AC_2,-60.19111904134128,112.38550625776683
AC_3,-60.2770959089016,112.50729728094417
AC_4,-60.40332039609458,112.76450044497413
AC_5,-60.55025547693642,112.97142054356549
AC_6,-60.63661825276073,113.05560309790194
AC_7,-60.71335488399306,113.13060557343779
AC_8,-60.75843394102547,113.14852246397693
AC_9,-60.749640932608266,113.16802520844855
AC_10,-60.73454630189266,113.21651289519528
AC_11,-60.67287427336185,113.28926333935489
AC_12,-60.57379902010658,113.38485499916155
AC_13,-60.50776023198364,113.43319194812311
AC_14,-60.320771761619376,113.5786080410528
AC_15,-60.20046955145133,113.67901210894756
AC_16,-60.04259140903149,113.77291821692931
AC_17,-59.801617862069214,113.90904966401034
API_1,-15.113837698855589,23.77129887074681
API_2,-7.500131642155118,19.58467696285584
API_3,-15.095513240022695,23.531503053876115
API_4,-7.49790571064951,19.502622042903937
API_5,-15.019739406983758,23.22345449238003
API_6,-7.432427546249965,19.45811180122701
API_7,-14.998266701567333,22.967848635646707
API_8,-7.44652668562095,19.397079490496086
API_9,-15.006295473383496,22.6986152328333
API_10,-7.4767946578774405,19.24964024008757
API_11,-15.013035165672965,22.476357148690816
API_12,-7.530802090924459,19.165224422614372
API_13,-15.047840059505504,22.181007852253423
API_14,-7.564873096214134,19.04227222503531
API_15,-15.117089340077964,21.773792366661826
API_16,-7.66305038597543,18.929155096852245
API_17,-15.174082978673969,21.39256613582495
API_18,-7.806804979773043,18.763307280530388
API_19,-15.2700551187349,21.08146467354743
API_20,-7.928114539251282,18.64295640341142
API_21,-15.380791426596323,20.8381393899013
API_22,-8.007291267914951,18.571305955752436
